latitude,longitude,freeboard,segment_length,Thickness (m)
-71.63745262,-40.06588509,0.26,14.822704,1.01
-71.63751428,-40.06591116,0.23,14.116646,0.9
-71.63757526,-40.06593692,0.23,14.826714,0.9
-71.63764292,-40.06596546,0.22,14.831467,0.86
-71.63769645,-40.065988,0.19,14.128947,0.75
-71.63776207,-40.06601559,0.17,13.4090805,0.68
-71.63781571,-40.0660381,0.18,14.131098,0.72
-71.6378827,-40.06606618,0.19,14.1692095,0.75
-71.63794551,-40.06609246,0.2,14.164242,0.79
-71.63800876,-40.06611889,0.21,13.455952,0.83
-71.6380571,-40.06613903,0.2,12.748336,0.79
-71.63811268,-40.06616217,0.21,12.747526,0.83
-71.63817729,-40.06618899,0.21,14.165107,0.83
-71.6382484,-40.06621843,0.21,15.578561,0.83
-71.63831644,-40.06624653,0.2,14.870642,0.79
-71.63836947,-40.06626838,0.19,13.45126,0.75
-71.63842692,-40.066292,0.18,14.158332,0.72
-71.63849327,-40.06631922,0.17,13.443045,0.68
-71.6385419,-40.06633912,0.19,12.733842,0.75
-71.63860256,-40.0663639,0.21,13.43778,0.83
-71.63865677,-40.06638599,0.21,13.434895,0.83
-71.63871658,-40.06641032,0.18,13.427925,0.72
-71.638771,-40.0664324,0.17,12.719908,0.68
-71.63882627,-40.06645479,0.18,13.41814,0.72
-71.63888925,-40.06648026,0.22,15.533167,0.86
-71.6389598,-40.06650872,0.24,14.114476,0.94
-71.63901782,-40.06653213,0.28,13.429461,1.08
-71.63907494,-40.06655514,0.29,13.407193,1.12
-71.63912856,-40.06657668,0.37,12.657017,1.41
-71.63918347,-40.0665986,0.43,14.057022,1.62
-71.6392549,-40.06662705,0.3,14.760326,1.15
-71.63931275,-40.06665008,0.21,14.052347,0.83
-71.63937992,-40.06667682,0.18,14.04924,0.72
-71.63943774,-40.06669983,0.18,13.347706,0.72
-71.63949297,-40.06672182,0.19,13.349641,0.75
-71.63954538,-40.06674271,0.23,11.952575,0.9
-71.6395899,-40.06676045,0.25,11.951515,0.97
-71.63963855,-40.06677985,0.24,11.952256,0.94
-71.63969455,-40.06680218,0.2,12.654986,0.79
-71.63975536,-40.06682646,0.18,13.359929,0.72
-71.63981154,-40.06684893,0.19,13.365834,0.75
-71.63986451,-40.06687015,0.18,12.667542,0.72
-71.63992348,-40.06689381,0.17,13.373944,0.68
-71.63998463,-40.06691838,0.18,14.087147,0.72
-71.6400455,-40.06694292,0.18,13.397863,0.72
-71.64010078,-40.06696524,0.21,14.106331,0.83
-71.64016256,-40.06699026,0.31,13.4041605,1.19
-71.64021558,-40.06701176,0.37,13.413523,1.41
-71.64027533,-40.067036,0.36,14.103003,1.37
-71.64034189,-40.06706309,0.32,14.131472,1.23
-71.64040037,-40.06708705,0.27,13.470962,1.04
-71.64045512,-40.0671096,0.26,13.479719,1.01
-71.64051683,-40.06713507,0.26,14.198403,1.01
-71.64058576,-40.0671636,0.25,14.915451,0.97
-71.64064352,-40.06718756,0.26,13.499028,1.01
-71.64069329,-40.06720823,0.24,12.789297,0.94
-71.64074905,-40.06723144,0.22,12.791538,0.86
-71.64081234,-40.06725783,0.21,14.927076,0.83
-71.64088421,-40.06728785,0.2,15.644119,0.79
-71.64094881,-40.06731488,0.22,14.925202,0.86
-71.64100941,-40.06734027,0.23,14.21742,0.9
-71.64107105,-40.06736613,0.27,14.214556,1.04
-71.64113104,-40.06739133,0.34,13.501368,1.3
-71.64119011,-40.06741614,0.38,14.210746,1.44
-71.64125745,-40.06744445,0.36,14.205896,1.37
-71.64130974,-40.06746644,0.33,12.778143,1.26
-71.64137211,-40.06749267,0.27,13.4846,1.04
-71.64142725,-40.06751588,0.26,12.772457,1.01
-71.64148068,-40.06753836,0.27,12.769286,1.04
-71.64154664,-40.06756613,0.31,14.901587,1.19
-71.64161225,-40.06759373,0.29,15.581936,1.12
-71.64168137,-40.06762277,0.29,14.840892,1.12
-71.64174045,-40.06764758,0.27,14.126119,1.04
-71.64180276,-40.06767373,0.26,14.120854,1.01
-71.64187128,-40.06770247,0.3,14.111026,1.15
-71.64192006,-40.06772291,0.32,12.700597,1.23
-71.64197734,-40.06774689,0.3,12.695735,1.15
-71.64204058,-40.06777336,0.29,13.392997,1.12
-71.64209527,-40.06779622,0.32,14.094698,1.23
-71.64216419,-40.067825,0.32,15.507465,1.23
-71.64222941,-40.0678522,0.26,14.08926,1.01
-71.64228507,-40.06787539,0.28,12.680992,1.08
-71.64234467,-40.0679002,0.34,14.087903,1.3
-71.64241246,-40.0679284,0.38,14.0880995,1.44
-71.64247077,-40.06795262,0.33,13.388635,1.26
-71.64252167,-40.06797374,0.28,12.68119,1.08
-71.64258239,-40.06799893,0.3,13.385212,1.15
-71.64263772,-40.06802185,0.31,12.683428,1.19
-71.64269487,-40.06804551,0.31,14.094297,1.19
-71.64276674,-40.06807528,0.29,14.805204,1.12
-71.64281841,-40.0680967,0.28,13.393827,1.08
-71.64288282,-40.06812334,0.27,14.110417,1.04
-71.6429369,-40.06814556,0.29,13.413991,1.12
-71.64299921,-40.06817115,0.27,14.121221,1.04
-71.64306282,-40.06819726,0.25,14.12622,0.97
-71.64312526,-40.06822291,0.25,13.43682,0.97
-71.64317214,-40.06824217,0.22,12.0139885,0.86
-71.64322375,-40.06826339,0.17,13.435868,0.68
-71.64328862,-40.06829008,0.19,14.851708,0.75
-71.64335562,-40.06831769,0.23,15.563673,0.9
-71.64342644,-40.0683469,0.26,15.570886,1.01
-71.64349585,-40.06837557,0.23,14.866272,0.9
-71.64354767,-40.068397,0.2,13.454432,0.79
-71.64360376,-40.06842023,0.21,14.171732,0.83
